,S.NO,PLAYER NAME,JERSEY NO.,CLUB,Position,Height,Weight,NO. OF GAME PLAYED,TOTAL SCORE,AVR. SCORE PER GAME,FOULS,TECHNICAL,BLOCK,TOTAL ASSIST,AVR. ASSIST PER GAME,TOTAL REBOUND,AVR. REBOUND PER GAME,STEAL,TOTAL TURN OVER,AVR. TURNOVER PER GAME,3 POINTS ATTEMPT,3 POINTS MADE,3 PA %,2 POINT ATTEMPT,2 POINT MADE,2 PA %,FIELD GOALS ATTEMPT,FIELD GOALS MADE,FIELD GOAL %,FREE THROW ATTEMPT,FREE THROW MADE,FREE THROW ACCURACY %,EFFICIENCY,,,,,,
4,1,Karma Gurung,8,GGIC,Shooting Guard,5'11,86,14,38,2.714285714,0,0,1,6,0.4285714286,30,2.142857143,1,4,0.2857142857,30,11,36.66666667,26,9,34.61538462,56,20,35.71428571,12,6,50,2.071428571,75.0,46.0,29.0,14.0,,
5,2,Chiranjivi Rokaya,35,GGIC,Small Forward,5'11,66,14,11,0.7857142857,0,0,0,1,0.07142857143,10,0.7142857143,1,2,0.1428571429,0,0,#DIV/0!,10,5,50,10,5,50,8,1,12.5,0.5714285714,22.0,14.0,8.0,14.0,,
6,3,Rajiv Joshi,7,GGIC,Guard,5'10,76,14,112,8,0,0,0,29,2.071428571,41,2.928571429,21,12,0.8571428571,45,15,33.33333333,51,27,52.94117647,96,42,43.75,22,18,81.81818182,8,182.0,70.0,112.0,14.0,,
7,4,Binod Shrestha,3,GGIC,Gaurd,5'8,78,14,116,8.285714286,0,0,0,25,1.785714286,20,1.428571429,19,11,0.7857142857,59,18,30.50847458,63,31,49.20634921,122,49,40.16393443,6,4,66.66666667,5.357142857,161.0,86.0,75.0,14.0,,
8,5,Kabindra Pradhan,1,GGIC,Small Forward,6'0,69,14,41,2.928571429,0,1,2,2,0.1428571429,36,2.571428571,2,8,0.5714285714,1,1,100,31,16,51.61290323,32,17,53.125,15,7,46.66666667,3.571428571,81.0,31.0,50.0,14.0,,
9,6,Abhishek Singh,0,GGIC,Shooting Gaurd,5'10,50,14,42,3,0,0,2,6,0.4285714286,22,1.571428571,3,11,0.7857142857,7,1,14.28571429,36,16,44.44444444,43,17,39.53488372,16,7,43.75,1.857142857,72.0,46.0,26.0,14.0,,
10,7,Bikram Dangol,6,GGIC,Shooting Guard,5'7,76,14,118,8.428571429,0,0,3,17,1.214285714,24,1.714285714,9,15,1.071428571,44,15,34.09090909,71,35,49.29577465,115,50,43.47826087,22,16,72.72727273,5.428571429,162.0,86.0,76.0,14.0,,
11,8,Yogesh Kanderiya,13,GGIC,Centre,"6'3""",83,14,146,10.42857143,0,0,4,5,0.3571428571,75,5.357142857,3,12,0.8571428571,3,1,33.33333333,112,64,57.14285714,115,65,56.52173913,41,25,60.97560976,10.85714286,230.0,78.0,152.0,14.0,,
12,9,Swaichhik Karki,11,GGIC,Centre,6'2,72,14,0,0,0,0,1,0,0,35,2.5,0,2,0.1428571429,1,0,0,8,1,12.5,9,1,11.11111111,4,2,50,1.714285714,36.0,12.0,24.0,14.0,,
13,10,Sushil Gurung ,5,GGIC,Guard,5'6,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0.0,0.0,0.0,14.0,,
14,11,Bipendra Maharjan,9,GGIC,Point Guard,5'9,78,14,52,3.714285714,0,0,1,54,3.857142857,37,2.642857143,13,26,1.857142857,26,6,23.07692308,61,19,31.14754098,87,25,28.73563218,11,2,18.18181818,3.357142857,144.0,97.0,47.0,14.0,,
15,12,Manesh Raj Rajopadhyaya,24,GGIC,small forward,6'0,78,14,75,5.357142857,0,0,6,10,0.7142857143,69,4.928571429,13,26,1.857142857,18,2,11.11111111,75,36,48,93,38,40.86021505,24,7,29.16666667,4.428571429,160.0,98.0,62.0,14.0,,
16,13,Monaj Raj Rajopadhyaya,23,GGIC,Forward,6'0,72,14,49,3.5,0,0,3,6,0.4285714286,66,4.714285714,8,15,1.071428571,18,2,11.11111111,38,21,55.26315789,56,23,41.07142857,11,6,54.54545455,5.071428571,124.0,53.0,71.0,14.0,,
